"date";"maxO3";"T6";"T9";"T12";"T15";"T18";"Ne6";"Ne9";"Ne12";"Ne15";"Ne18";"Vx";"maxO3v"
"75";19940614;114.4;12.2;18.4;22;23;20.9;2;0;1;2;"0";1.0419;91.8
"76";19940615;91.2;11.8;17.1;23;22.5;19.9;0;0;2;0;"0";0;114.4
"77";19940616;65.6;10.6;17.3;21.9;23.3;22.1;1;1;1;1;"2";-1.0261;91.2
"78";19940617;75.8;11;19.8;24.6;26.7;26;1;2;2;4;"3";1;65.6
"79";19940618;102.8;12.8;19.9;23.7;25.8;23;1;1;0;1;"1";-0.3473;75.8
"80";19940619;93.4;13.2;17.9;23.7;24.7;20.1;3;2;2;3;"6";-1.5321;102.8
"81";19940620;39.2;14.3;16.3;18.3;18.8;19.4;7;8;7;8;"6";-2.8191;93.4
"82";19940621;30.2;13.4;19.3;22.4;21.6;20.8;2;7;5;4;"1";-5.3623;39.2
"83";19940622;17.4;16.5;18.8;21.4;22.6;22.4;8;8;8;7;"7";-2.8191;30.2
"84";19940623;63.6;15.7;22.1;25.2;27.3;26.6;3;7;7;3;"1";4.924;17.4
"85";19940624;127;19.1;25.7;31.3;32.2;23.3;1;2;1;5;"7";1.3681;63.6
"86";19940625;36;14.9;16.8;20.1;21.2;19.1;7;5;6;6;"8";-1;127
"87";19940626;47.6;13.8;16.4;17.4;21.1;22.2;1;7;7;1;"5";-1.9284;36
"88";19940627;69;14.4;19.2;24.6;25.9;25.6;7;7;2;1;"1";-1.9284;47.6
"89";19940628;93.6;18.1;25.1;28.5;29.9;28.6;0;0;1;2;"1";0.6946;69
"90";19940629;41;16.7;18.5;21.1;22.8;20;6;4;1;1;"0";1.0261;93.6
"91";19940630;69.8;13.7;19.5;24.4;25.9;26.4;4;5;3;1;"0";5;41
"92";19940701;84;18.3;24.6;27.4;25.2;22.3;2;2;7;7;"7";1.5321;69.8
"93";19940702;80.6;14.6;17;21.5;24.4;25.5;8;7;2;1;"1";1.7321;84
"94";19940703;86;15;22;27.1;28.3;25.1;9;2;5;7;"7";1.9284;80.6
"95";19940704;22.4;17;21.3;21.4;23.4;21.5;7;7;6;7;"6";-4.5963;86
"96";19940705;42.4;15.3;17.4;19.6;20.3;19.3;7;7;6;7;"8";-2.8191;22.4
"97";19940706;29.8;14.7;18.9;18.6;19.4;19.5;7;6;8;6;"6";-2.5712;42.4
"98";19940707;18.6;12.6;17.8;16.8;17.6;18;1;7;8;8;"8";-3.0642;29.8
"99";19940708;20.6;12.9;16.2;17.8;19.4;18.3;4;7;8;7;"4";-3.4641;18.6
"100";19940709;39.6;10.9;17.3;21;23.9;24.2;1;5;5;2;"1";-0.9848;20.6
"101";19940710;75.6;13.5;23.3;27;29.2;28.5;1;1;0;0;"0";1.2856;39.6
"102";19940711;121;14.2;25.6;29.6;31.4;30.9;0;0;0;0;"0";0.6428;75.6
"103";19940712;144.2;16.4;26.5;31.2;25.6;22.3;2;1;1;0;"2";-2.8191;121
"104";19940713;42.8;16.4;17.9;19.5;21.6;20.1;8;8;8;2;"3";-3.2139;144.2
"105";19940714;59.4;14.4;20;23.3;24.6;22;1;1;3;1;"1";0.6946;42.8
"106";19940715;35;10.9;18.5;24;27;24.8;0;1;1;0;"3";0;59.4
"107";19940716;111;17.7;22.5;27.8;29.2;27.8;5;7;4;3;"4";4;35
"108";19940717;75.2;19.9;21.7;26.3;23.8;19.9;7;6;7;8;"8";2.9544;111
"109";19940718;60.2;18.5;19.9;24;24.9;21.1;8;8;5;7;"7";0;75.2
"110";19940719;41.8;18.1;20.1;19.6;21.5;19.5;8;6;7;7;"7";-1.0419;60.2
"111";19940720;84;16.5;18.6;23.5;25.3;23.2;8;8;1;2;"7";1.5;41.8
"112";19940721;84;16.2;20.6;25.6;26.9;25.3;8;0;2;3;"0";0.3473;84
"113";19940722;61.4;16.2;20.7;23.7;23.1;21.4;1;3;7;8;"5";0;84
"114";19940723;110.8;16.6;22.6;28.5;31.5;30.5;2;3;2;4;"5";-0.5209;61.4
"115";19940724;115.2;18.8;24.6;29.6;25.7;23.4;3;6;7;7;"3";-1.9696;110.8
"116";19940725;44.4;16.3;17.8;23.8;26.4;25.4;8;8;5;5;"4";-0.9848;115.2
"117";19940726;36;17.1;21.3;25.5;27.7;26.4;7;7;6;1;"0";-3.8567;44.4
"118";19940727;62.8;15.2;19.6;27.2;28;25.4;9;0;1;7;"6";-0.3473;36
"119";19940728;22.2;17.1;17.1;20.2;20.4;20.1;7;8;7;7;"2";-0.5209;62.8
"120";19940729;47.4;15.8;20.9;25.5;27.1;25.4;7;1;0;7;"5";0.9397;22.2
"121";19940730;52;18.7;22.6;26.6;29.2;27.6;6;6;7;4;"2";-4.5963;47.4
"122";19940731;20.6;18.4;21.7;25.9;24;22.3;8;2;4;7;"3";-2.5712;52
"123";19940801;22;16.3;20.1;23;23.3;21.7;5;4;5;3;"2";-6.0622;20.6
"124";19940802;32.8;18.1;21.1;23.2;26;26;7;8;8;7;"6";-2.5712;22
"125";19940803;69.6;18.6;25.3;30.7;33.1;32.4;4;3;1;1;"1";5.1962;32.8
"126";19940804;38.6;20.4;21.6;28.7;29.3;26.8;8;7;5;6;"7";-3;69.6
"127";19940805;21.6;18.6;21.4;24.2;26.3;22.5;7;3;3;3;"1";0;38.6
"128";19940806;26.8;17.2;21.2;25.1;25.7;22.9;7;1;5;6;"3";1.0261;21.6
"129";19940807;44.2;16.3;21.8;27.2;28.4;24.3;5;6;7;7;"7";3.0642;26.8
"130";19940808;74.8;16.9;22.6;27.9;29.9;27.9;0;1;4;3;"3";3;44.2
"131";19940809;53.6;20;23.8;26.4;24.1;21.3;6;7;8;8;"8";3.9392;74.8
"132";19940810;23.6;15.3;18.3;21;21.6;18;7;8;6;7;"5";0.8682;53.6
"133";19940811;26;13;15.6;20.5;21;19.6;2;7;3;7;"7";0;23.6
"134";19940812;36.2;15.7;17.7;20.9;19.5;20.1;7;7;7;7;"6";-1.8794;26
"135";19940813;38;15.1;17.9;19.9;19.7;18.3;7;6;5;5;"0";0.8682;36.2
"136";19940814;50.4;11.2;17.6;21.1;22.6;20.9;1;1;3;3;"1";1.0261;38
"137";19940815;58.6;11.5;18.8;24.3;26.2;25.2;5;6;4;1;"1";2.5981;50.4
"138";19940816;59.2;13.4;19.9;25.3;26.2;21.2;5;7;7;6;"2";-1.0261;58.6
"139";19940817;18.2;13.5;16.3;17.2;17.7;17.2;7;7;8;8;"7";-1.7101;59.2
"140";19940818;31.8;14.8;17.2;21;24.3;22.2;5;4;1;3;"4";-3;18.2
"141";19940819;18.6;18.1;20.4;21.9;22.4;21.3;8;8;8;6;"4";-4.5963;31.8
"142";19940820;31.8;12.5;18.4;21.5;23.9;21.2;4;4;1;1;"1";0.3473;18.6
"143";19940821;32.2;12.9;18.4;25.9;27.4;26.2;5;7;3;4;"4";3.7588;31.8
"144";19940822;49.4;16.2;22;26.9;27.9;25.5;5;7;5;5;"6";-1.9696;32.2
"145";19940823;18.6;16.9;20.1;20.2;19.8;19.5;7;8;7;7;"2";-6.0622;49.4
"146";19940824;18.2;14.1;17.3;18.9;20.8;18.4;7;8;8;7;"7";-1.9284;18.6
"147";19940825;18.6;15;16.9;21.8;21.3;17.7;8;8;6;8;"8";-5;18.2
"148";19940826;20.6;16.5;18.3;21;22.6;19.9;7;7;6;7;"7";-3.7588;18.6
"149";19940827;17;17.5;18.9;20.5;20.3;16;7;8;8;8;"8";-2.5;20.6
"150";19940828;17.8;10.7;15.1;19.3;19.8;18.6;5;6;6;4;"3";-2.5712;17
"151";19940829;20.2;9.6;16.1;19.6;21.8;20;3;1;1;3;"6";0;17.8
"152";19940830;50.4;12.2;18.7;23.4;24.7;22.6;2;3;2;2;"6";2.2981;20.2
"153";19940831;24;15.8;18.4;19.5;20.9;19.1;7;7;8;6;"6";2;50.4
"154";19940901;29.2;14.9;16.4;17.9;20;16.3;7;7;7;6;"6";-5.1962;24
"155";19940902;42.2;13.8;18.2;20.9;22;20.8;1;1;3;2;"2";-2.5712;29.2
"156";19940903;36;13.7;18.1;19.6;19.7;19.2;7;7;8;7;"8";-2.5981;42.2
"157";19940904;20.4;15.8;17.2;18.7;20.1;21;7;7;7;6;"5";-3.7588;36
"158";19940905;35.6;16;17.6;20.7;20.8;18;8;6;6;7;"7";0.3473;20.4
"159";19940906;23;14.2;15.1;16.3;17.2;17.2;8;8;8;8;"8";-2.5981;35.6
"160";19940907;49.4;14.3;15;19.6;21;17.3;8;6;5;6;"7";-3.0642;23
"161";19940908;28.8;12.3;15;13.7;17;14.6;6;5;6;7;"7";-4.3301;49.4
"162";19940911;21.4;14.2;17.7;19.1;19.8;16.8;7;7;8;7;"8";-0.8682;23.6
"163";19940912;21.2;16.3;16.3;19.5;20;16.7;7;3;4;3;"1";-6.5778;21.4
"164";19940913;20.4;10.5;16.1;18.3;19;13.8;1;6;7;7;"8";3.2139;21.2
"165";19940914;20.8;10.3;12.2;16.6;13.8;12.1;8;5;5;7;"7";-3.0642;20.4
"166";19940915;23;12.1;14.1;15.3;16.8;12.2;6;6;7;5;"6";-9.3969;20.8
"167";19940916;25.2;8.3;12.6;14.3;15.1;13.2;8;8;8;7;"7";-1.0419;23
"168";19940917;20;8.4;11.1;13.8;14.2;12.9;7;6;7;7;"7";-4.3301;25.2
"169";19940918;17.8;10.8;13.6;15.1;15.6;13.2;7;3;6;6;"6";-1.0261;20
"170";19940919;15.8;9.8;10.8;12.2;12.8;14.2;8;8;8;8;"8";0;17.8
"171";19940920;15;13.2;14.4;16.8;15.5;13.7;8;7;6;6;"5";-5.3623;15.8
"172";19940921;25.8;8.2;10.3;16.9;18.3;15.9;7;7;4;4;"5";2.8191;15
"173";19940922;31.2;10.3;14;17;15.1;15.7;2;4;8;8;"8";3.8302;25.8
"174";19940923;45.2;13.4;14.8;17.8;17.2;16.7;7;6;8;8;"8";2.9544;31.2
"175";19940924;26.2;15;16.6;17.9;15;15.8;1;6;7;8;"8";3.8567;45.2
"176";19940925;19.2;14.9;14.6;15.4;16.2;15.3;8;8;8;7;"8";3.2139;26.2
"177";19940926;26.8;14.7;16.4;17.1;17.5;16.9;8;7;7;7;"7";3;19.2
"178";19940927;49.6;13.9;16.1;17.6;18.7;15.2;8;3;7;6;"1";0;26.8
"179";19950401;47.6;10.1;11.6;13.3;13.6;12.2;8;8;8;8;"8";-3.4641;62.2
"180";19950402;56.2;9.5;9.4;13.8;17.4;16.3;8;8;7;0;"0";0;47.6
"181";19950403;61.8;3.6;8;16.8;21.5;20.2;4;5;2;2;"3";-0.342;56.2
"182";19950404;50.8;9.5;10.5;11.4;12.2;11.4;8;7;7;7;"8";-0.5209;61.8
"183";19950405;59.8;9.8;10.8;13.8;14.3;13.3;8;7;8;8;"7";-0.9848;50.8
"184";19950406;53.4;8.9;10.2;12.6;13.2;12.9;8;8;8;8;"7";-1.8794;59.8
"185";19950407;49.4;11.2;11;13.3;14.9;12.5;8;8;8;7;"7";-0.1736;53.4
"186";19950408;82.8;10;13.4;15.6;15.4;13.9;8;7;1;3;"7";6;49.4
"187";19950409;76.8;3.7;8.3;12.3;13.9;13.2;2;4;3;5;"5";4;82.8
"188";19950410;92.6;3.1;9.3;14.1;16.5;14.6;6;6;4;4;"7";1.7321;76.8
"189";19950411;90.6;4.3;13.7;17;18.5;17.1;3;2;4;3;"0";4.924;92.6
"190";19950412;104.6;4.8;12.9;18;18.9;16.3;1;1;1;0;"0";4.3301;90.6
"191";19950413;71;5.9;10.9;13.3;15;13.6;1;1;1;1;"1";6.0622;104.6
"192";19950414;66.6;6.5;10.5;14.1;15.6;13.1;0;1;1;2;"4";2.0521;71
"193";19950415;93.8;7;8;13.6;14.1;10.9;8;7;7;7;"8";-2.5;66.6
"194";19950416;87.2;7.1;9.1;11.3;12;10.5;7;7;6;5;"5";-0.8682;93.8
"195";19950417;71.6;9.2;11.2;12;12.1;11.6;8;8;8;8;"8";-3.9392;87.2
"196";19950418;72.4;10.7;12;12.3;10.4;9.8;8;8;8;8;"7";-6.5778;71.6
"197";19950419;63.4;2.6;8.1;7.8;7;6.4;6;3;7;7;"5";-5.3623;72.4
"198";19950420;62.2;-0.3;7.3;10.2;10.5;10.1;1;3;6;8;"8";-2;63.4
"199";19950421;76.8;5.4;11.4;13;12.8;9.1;6;5;7;6;"8";6.8937;62.2
"200";19950422;69.4;6.1;7.3;7.7;8.2;7.3;8;8;8;8;"4";1.0419;76.8
"201";19950423;79.4;2.4;8.9;11.7;12.9;10.3;3;7;7;8;"7";0.9848;69.4
"202";19950424;71.6;6.9;10.4;10.8;9.5;9.1;7;8;8;8;"8";-1.3892;79.4
"203";19950425;77;8.3;9.2;10;10.2;9.7;8;8;8;8;"8";-4.5963;71.6
"204";19950426;57.8;10.1;11.5;11.5;13.2;11.8;9;8;8;8;"8";0.3473;77
"205";19950427;60.8;9.2;9.8;10.7;11.2;11.2;8;8;8;8;"8";2.9544;57.8
"206";19950428;56.2;9.6;10.7;12.3;13.2;13.4;8;8;8;8;"8";3;60.8
"207";19950429;75.6;10.2;11.8;13;14.4;15;8;8;8;7;"7";-2.5981;56.2
"208";19950430;80.2;10.6;11.6;13.9;16.7;16.7;8;8;7;6;"3";-1.2856;75.6
"209";19950501;101.4;9.3;15.2;18.5;20.2;18.6;6;6;6;5;"6";4.924;80.2
"210";19950502;113;8.1;17.1;22.6;23.9;22.5;2;3;5;6;"6";4;101.4
"211";19950503;115.6;9.4;19.5;24.6;25.4;24.1;1;1;1;0;"0";3.4641;113
"212";19950504;117.8;10.2;20.6;26.6;27.7;26.1;0;0;1;1;"2";1.0261;115.6
"213";19950505;127.8;12.6;22.3;28.1;28.9;27.2;0;0;1;1;"1";3.0642;117.8
"214";19950506;144.6;14.5;23.2;27.9;28.6;25.4;3;1;3;1;"4";3.4641;127.8
"215";19950507;157;13.3;22;26.7;27.8;24.7;4;1;1;1;"4";1.5;144.6
"216";19950508;90.8;12.1;15.8;18.3;18;15.5;8;6;3;1;"4";-1.0419;157
"217";19950509;74.4;9.5;13.3;15.8;16.8;13.4;1;4;2;4;"7";-1.3681;90.8
"218";19950510;85.8;10;14;17.2;18.1;15.5;5;4;6;2;"7";1.2856;74.4
"219";19950511;58.2;10.4;11.2;13.1;13.5;11.2;8;8;8;8;"8";5;85.8
"220";19950512;64.4;8;8.7;9.3;8;7.1;8;8;8;8;"8";1.3892;58.2
"221";19950513;74;5;9.6;11.6;11.1;10.1;8;3;5;3;"1";1.3892;64.4
"222";19950514;85.6;2.4;11.2;14.1;15;13.5;1;3;3;4;"5";-1;74
"223";19950515;77.2;6.2;12.2;14.8;15.4;14.6;7;6;7;7;"7";4.924;85.6
"224";19950516;42.8;9.1;10.5;12.1;14.3;15.3;8;8;8;7;"6";3.2139;77.2
"225";19950517;75;12.4;13.4;15.3;15.1;13.6;7;7;6;6;"8";-9;42.8
"226";19950518;80;8;10.7;13.4;13.6;11.9;7;7;6;2;"1";-1.0419;75
"227";19950519;70.4;5.3;11.6;13.9;14.2;13.8;1;3;4;7;"4";-0.3473;80
"228";19950520;69;6.2;11.7;13.4;14.5;12.9;2;7;7;7;"5";-4.4995;70.4
"229";19950521;83.4;5.4;13.6;16.8;17.8;16.9;1;4;3;7;"7";3.7588;69
"230";19950522;94.2;9.6;16.5;20;20.9;19.9;7;6;6;6;"7";4.6985;83.4
"231";19950523;91.8;12.3;18.3;23;24.7;22.2;4;4;3;2;"5";2;94.2
"232";19950524;62;14.2;14.1;16;17.4;17;8;8;8;7;"3";-4;91.8
"233";19950525;59.8;10.9;15.6;19.7;20.1;17;2;6;5;4;"3";-4.5963;62
"234";19950526;62.4;10.9;16.4;18.6;19.6;17.5;6;6;7;7;"7";-2.5;59.8
"235";19950527;60.2;13.9;17;21.6;21.7;19.6;5;7;5;4;"6";-3.5;62.4
"236";19950528;64.2;15.7;19.8;21.4;21.7;19.2;6;6;7;6;"3";-3.8567;60.2
"237";19950529;68.8;12.1;14.9;17.1;19;17;2;8;6;5;"5";-3.0642;64.2
"238";19950530;64.6;10.4;14.9;14.4;16;14.9;6;7;6;7;"6";-1.9284;68.8
"239";19950531;76.8;10.7;14.3;16.3;18;16.4;7;7;7;5;"1";-1.7101;64.6
"240";19950601;66;9;14;16.7;16;14.8;7;7;7;8;"7";-2.9544;76.8
"241";19950602;62.6;11.9;15.1;17.7;16.7;16.2;8;6;6;8;"7";-1.9284;66
"242";19950603;46.2;11.7;14;14.9;16.9;16.9;8;8;8;7;"8";-3.0642;62.6
"243";19950604;69.4;11.6;16;17.6;16.6;15.7;7;7;6;6;"2";-5.1962;46.2
"244";19950605;72.2;8.6;13.9;16.3;16.6;16.3;3;6;6;6;"2";-0.6946;69.4
"245";19950606;78.2;8.7;15.7;19.5;20.2;17.8;3;4;4;4;"2";-0.766;72.2
"246";19950607;45.2;11;15.9;17.6;19.5;17.6;8;7;7;7;"7";-1.0261;78.2
"247";19950608;77.2;11.5;15;16.7;17.3;16;1;5;3;2;"2";-1.3892;45.2
"248";19950609;74;8.6;15.3;16.5;18.2;16;1;5;7;6;"1";2;77.2
"249";19950610;63.8;7.8;14.2;16.1;15.9;14.4;2;8;8;8;"7";-1.9284;74
"250";19950611;45.8;11.8;13.2;16;16.5;15.3;8;8;7;7;"7";-2;63.8
"251";19950612;64.6;11.9;13.6;15.2;16.5;14.9;2;8;6;6;"7";2.5;45.8
"252";19950613;60;10.8;13.4;14.8;14.4;14.4;5;7;7;6;"4";0.8682;64.6
"253";19950614;81;7.7;14.2;16.7;16.6;16.7;0;5;7;7;"3";0.8682;60
"254";19950615;65.6;9.9;16;18.5;20.6;19.8;7;6;4;2;"1";1.0419;81
"255";19950616;54.6;10.4;14.5;21.4;24.7;21.2;8;2;1;1;"4";-1.5321;65.6
"256";19950617;49.6;12.9;15.7;17;14.6;14.2;7;8;8;8;"8";-4.5963;54.6
"257";19950618;33.2;15.8;16.9;17.1;16.9;17.6;7;8;8;7;"6";0.3473;49.6
"258";19950619;66.6;14.4;18.3;21.6;24.2;23.8;7;6;3;6;"7";-1.5;33.2
"259";19950620;60.8;15.1;20.3;22.3;25.3;21.5;7;7;8;7;"7";-1;66.6
"260";19950621;56.4;15.3;18.6;23;24.4;22.8;8;3;1;1;"1";2;60.8
"261";19950622;78;14.6;18.5;21.6;22.4;21.3;1;1;1;1;"3";6.0622;56.4
"262";19950623;77.4;13.2;16;17.9;19.4;19.5;1;3;5;3;"1";6.1284;78
"263";19950624;70.8;12.7;14.9;20;21.2;18.2;6;6;1;2;"1";3;77.4
"264";19950625;93.6;12.6;18.3;22.5;24.8;24.5;5;1;4;2;"1";4.924;70.8
"265";19950626;102.2;17.9;24.3;28.8;29.7;26.7;0;1;1;2;"1";6.8937;93.6
"266";19950627;114;19;25.3;29.1;28.7;25.3;0;0;1;2;"1";6.5778;102.2
"267";19950628;121.6;17.1;23.6;30.5;30.9;31.2;0;6;2;3;"1";5.6382;114
"268";19950629;136.8;21.5;28.6;32.2;33.2;31.5;0;0;1;1;"0";5.9088;121.6
"269";19950630;137.4;19.1;27.4;32;33.5;30.6;0;0;1;1;"4";1.5;136.8
"270";19950701;136.6;18.3;22.9;30.3;21.8;20.1;6;6;6;8;"8";-1.9696;137.4
"271";19950702;86;17.2;19.3;22.7;24.3;20.3;8;7;6;6;"7";-2.8191;136.6
"272";19950703;84.4;15.1;17.4;19.2;19.3;19.5;8;7;7;7;"2";-1.3681;86
"273";19950704;77.6;12.8;17.6;20.7;20.9;19.1;0;6;7;6;"0";-1.0261;84.4
"274";19950705;51;12.3;18.5;19.2;20.3;20.4;1;6;8;8;"7";-0.684;77.6
"275";19950706;50.8;14.8;18.3;20.4;20.8;20.8;7;7;7;6;"7";-1.5;51
"276";19950707;75.8;13.7;20.2;24.3;26.4;24.5;5;2;5;3;"2";0.5209;50.8
"277";19950708;134;15.9;23.9;28.4;29.7;28.3;3;3;6;1;"3";4.3301;75.8
"278";19950709;129.6;18.3;26.5;32.7;33.5;32.5;0;1;3;3;"2";1.5;134
"279";19950710;98.8;21.2;24.8;25.2;27.6;23.1;7;4;7;5;"7";-1.9284;129.6
"280";19950711;66.8;17.7;17.7;21.3;25.1;23.4;8;8;7;4;"2";-2.9544;98.8
"281";19950712;71.4;18.1;21.4;24.6;25.7;25.2;4;2;7;7;"7";0.5209;66.8
